                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.81774,                 1.2005,                  1.187,                0.86548,                0.65004,                0.75618,                0.52147,                 1.1176,                0.83565,                 1.3939,               0.000449,               0.000449,               0.000449
                     49,                0.82502,                 1.2004,                 1.1866,                 0.8525,                 0.6545,                 0.7504,                0.51771,                 1.1197,                0.82909,                 1.4017,               0.000416,               0.000416,               0.000416
                     50,                0.82025,                 1.1874,                 1.1835,                0.82875,                0.66073,                0.75028,                0.51596,                 1.1244,                0.83744,                 1.4017,               0.000383,               0.000383,               0.000383
                     51,                0.87568,                 1.1926,                 1.2265,                0.86108,                0.65539,                0.75527,                0.52576,                  1.085,                0.81854,                  1.387,                0.00035,                0.00035,                0.00035
                     52,                0.86684,                 1.1729,                  1.218,                0.85235,                0.66827,                0.76511,                0.53315,                 1.0694,                0.79348,                 1.3728,               0.000317,               0.000317,               0.000317
                     53,                0.85878,                 1.2012,                 1.2083,                 0.8667,                0.65628,                 0.7631,                0.53041,                  1.086,                0.79102,                 1.3805,               0.000284,               0.000284,               0.000284
                     54,                0.85576,                 1.1536,                 1.2062,                0.84617,                0.66963,                0.76188,                0.53439,                 1.0642,                0.78557,                 1.3603,               0.000251,               0.000251,               0.000251
                     55,                0.85415,                 1.1429,                 1.2046,                0.85018,                0.67209,                0.76367,                0.53595,                  1.063,                0.79415,                 1.3604,               0.000218,               0.000218,               0.000218
                     56,                0.84767,                 1.1341,                 1.2024,                0.84475,                0.66874,                0.76302,                0.53517,                 1.0656,                0.78617,                 1.3594,               0.000185,               0.000185,               0.000185
                     57,                0.84388,                 1.1316,                 1.2026,                0.84449,                0.67231,                0.76746,                0.53849,                 1.0648,                0.77826,                  1.362,               0.000152,               0.000152,               0.000152
                     58,                0.84004,                 1.1232,                 1.1993,                0.86431,                 0.6693,                0.77014,                 0.5418,                 1.0593,                0.77585,                 1.3615,               0.000119,               0.000119,               0.000119
                     59,                0.83798,                 1.1164,                 1.1952,                0.85971,                0.67122,                0.77263,                0.54317,                 1.0612,                0.77479,                 1.3625,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                 0.8309,                 1.1132,                 1.1959,                0.87378,                0.66073,                0.77312,                 0.5412,                 1.0649,                0.77207,                 1.3675,                5.3e-05,                5.3e-05,                5.3e-05
